pid,item_name,vendor_name,product_line,product_topCategory,instock_num,in_stock,out_of_stock,cost_price,item_url,url
2846728,High-Waist Midi Space-Dye Leggings,Beyond Yoga,PANTS,Women,6,"XS,S,M,L,XL","XXS,XXL",97,https://www.bloomingdales.com/shop/product/beyond-yoga-high-waist-midi-space-dye-leggings?ID=2846728,"https://images.bloomingdalesassets.com/is/image/BLM/products/3/optimized/10240193_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3182151,Lindsey Sport Contour Underwire Bra,Wacoal,BRA,Women,6,,,70,https://www.bloomingdales.com/shop/product/wacoal-lindsey-sport-contour-underwire-bra?ID=3182151,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/10319229_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4052462,Stripe Sleeve Hoodie - 100% Exclusive,AQUA,SWEATSHIRTS,Women,6,"XS,S,M,L",,68,https://www.bloomingdales.com/shop/product/aqua-athletic-stripe-sleeve-hoodie-100-exclusive?ID=4052462,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11530752_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3811241,Stripe Sleeve Knit Sweatshirt - 100% Exclusive,AQUA,SWEATSHIRTS,Women,6,"XS,S,M,L,XL","XS,S,M,L",68,https://www.bloomingdales.com/shop/product/aqua-athletic-stripe-sleeve-knit-sweatshirt-100-exclusive?ID=3811241,"https://images.bloomingdalesassets.com/is/image/BLM/products/7/optimized/11605947_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3645863,Dynamic Convertible Medium-Impact Sports Bra,Natori,BRA,Women,6,,,72,https://www.bloomingdales.com/shop/product/natori-dynamic-convertible-medium-impact-sports-bra?ID=3645863,"https://images.bloomingdalesassets.com/is/image/BLM/products/4/optimized/10827404_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3841531,Yin Yang Half Zip Pullover,Alo Yoga,SWEATSHIRTS,Women,6,"XS,S,M,L",,138,https://www.bloomingdales.com/shop/product/alo-yoga-yin-yang-half-zip-pullover?ID=3841531,"https://images.bloomingdalesassets.com/is/image/BLM/products/8/optimized/11246478_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3936942,Croc Textured Mixed Media Jacket,Blanc Noir,JACKET,Women,6,XS,"S,M,L",149,https://www.bloomingdales.com/shop/product/blanc-noir-croc-textured-mixed-media-jacket?ID=3936942,"https://images.bloomingdalesassets.com/is/image/BLM/products/0/optimized/11335080_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4102968,Glimpse Long Sleeve Top,Alo Yoga,TOP,Women,6,M,"XS,S,L",68,https://www.bloomingdales.com/shop/product/alo-yoga-glimpse-long-sleeve-top?ID=4102968,"https://images.bloomingdalesassets.com/is/image/BLM/products/8/optimized/11326458_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
309306,Simone Sport Underwire Bra,Wacoal,BRA,Women,6,,,68,https://www.bloomingdales.com/shop/product/wacoal-simone-sport-underwire-bra?ID=309306,"https://images.bloomingdalesassets.com/is/image/BLM/products/1/optimized/11049311_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4038999,Raquel High Waist Flare Pants,Splits59,PANTS,Women,6,"XS,S,M,XL",L,98,https://www.bloomingdales.com/shop/product/splits59-raquel-high-waist-flare-pants?ID=4038999,"https://images.bloomingdalesassets.com/is/image/BLM/products/6/optimized/11502436_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3811552,Adicolor Classics Cotton Cropped Hoodie,Adidas,SWEATSHIRTS,Women,6,"M,L","XS,S,XL",65,https://www.bloomingdales.com/shop/product/adidas-adicolor-classics-cotton-cropped-hoodie?ID=3811552,"https://images.bloomingdalesassets.com/is/image/BLM/products/6/optimized/11350266_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3607672,Low-Impact Bra Tank Top,Alo Yoga,BRA,Women,6,"XS,S","M,L",72,https://www.bloomingdales.com/shop/product/alo-yoga-low-impact-bra-tank-top?ID=3607672,"https://images.bloomingdalesassets.com/is/image/BLM/products/1/optimized/11413031_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
2784685,Active Balance Convertible Sports Bra,Le Myst&egrave;re,BRA,Women,6,,,60,https://www.bloomingdales.com/shop/product/le-mystere-active-balance-convertible-sports-bra?ID=2784685,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/9691369_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
3992356,Airlift Intrigue Bra,Alo Yoga,BRA,Women,6,"XS,S,M,L",,54,https://www.bloomingdales.com/shop/product/alo-yoga-airlift-intrigue-bra?ID=3992356,"https://images.bloomingdalesassets.com/is/image/BLM/products/1/optimized/11567691_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
2649126,Aerate Mesh Tank,KORAL,TOP,Women,6,"XS,S,M,L",XL,65,https://www.bloomingdales.com/shop/product/koral-aerate-mesh-tank?ID=2649126,"https://images.bloomingdalesassets.com/is/image/BLM/products/7/optimized/9749527_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
2904444,Brandi Sport Underwire Bra,Wacoal,BRA,Women,6,,,54,https://www.bloomingdales.com/shop/product/wacoal-brandi-sport-underwire-bra?ID=2904444,"https://images.bloomingdalesassets.com/is/image/BLM/products/9/optimized/10776619_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
4096484,Camo Leggings - 100% Exclusive,AQUA,PANTS,Women,6,"XS,S,M,L,XL",,68,https://www.bloomingdales.com/shop/product/aqua-athletic-camo-leggings-100-exclusive?ID=4096484,"https://images.bloomingdalesassets.com/is/image/BLM/products/2/optimized/11605962_fpx.tif?$2014_BROWSE_FASHION$&fmt=webp&op_usm=0.7,1.0,0.5,0&resMode=sharp2&qlt=85,0&wid=312&hei=390"
